offset_s,latency_s,ok
5.17508,0.253346,1
5.42843,0.267872,1
5.6963,0.257429,1
5.95373,0.220897,1
6.17463,0.22663,1
6.40126,0.282897,1
6.68416,0.21928,1
6.90344,0.233121,1
7.13656,0.210696,1
7.34726,0.212984,1
7.56025,0.230264,1
7.79051,0.218319,1
8.00883,0.23754,1
8.24637,0.159634,1
8.40601,0.218871,1
8.62488,0.251084,1
8.87596,0.208831,1
9.0848,0.176704,1
9.2615,0.319259,1
9.58076,0.13384,1
9.7146,0.185205,1
9.89981,0.198438,1
10.0982,0.164002,1
10.2623,0.29976,1
10.562,0.297631,1
10.8596,0.19184,1
11.0515,0.250174,1
11.3017,0.155885,1
11.4575,0.38062,1
11.8382,0.434384,1
12.2726,0.411966,1
12.6845,0.395452,1
13.08,0.175405,1
13.2554,0.321729,1
13.5771,0.232772,1
13.8099,0.255051,1
14.0649,0.197789,1
14.2627,0.243791,1
14.5065,0.251719,1
14.7582,0.225736,1
14.984,0.252828,1
15.2368,0.268817,1
15.5056,0.125842,1
15.6315,0.280986,1
15.9125,0.207512,1
16.12,0.186864,1
16.3068,0.192755,1
16.4996,0.173772,1
16.6734,0.221005,1
16.8944,0.230632,1
17.125,0.243473,1
17.3685,0.221921,1
17.5904,0.214075,1
17.8045,0.129876,1
17.9343,0.318238,1
18.2526,0.163376,1
18.416,0.107757,1
18.5237,0.17062,1
18.6943,0.274456,1
18.9688,0.0789321,1
19.0477,0.126829,1
19.1746,0.0838122,1
19.2584,0.15373,1
19.4121,0.244052,1
19.6562,0.262925,1
19.9191,0.248235,1
20.1673,0.242067,1
20.4094,0.179664,1
20.5891,0.160457,1
20.7495,0.156331,1
20.9058,0.16584,1
21.0717,0.178832,1
21.2505,0.186332,1
21.4369,0.0667617,1
21.5036,0.149378,1
21.653,0.19072,1
21.8437,0.175603,1
22.0193,0.161777,1
22.1811,0.151933,1
22.333,0.153665,1
22.4867,0.160549,1
22.6472,0.154902,1
22.8022,0.167866,1
22.97,0.156182,1
23.1262,0.153676,1
23.2799,0.153003,1
23.4329,0.171589,1
23.6045,0.0950388,1
23.6995,0.132501,1
23.832,0.113338,1
23.9454,0.149419,1
24.0948,0.169362,1
24.2641,0.151907,1
24.416,0.0960211,1
24.5121,0.143711,1
24.6558,0.124218,1
24.78,0.21123,1
24.9912,0.0838898,1
5.25899,0.326743,1
5.58573,0.234713,1
5.82044,0.282244,1
6.10269,0.232204,1
6.33489,0.259785,1
6.59468,0.222943,1
6.81762,0.24439,1
7.06201,0.244123,1
7.30614,0.249437,1
7.55558,0.23333,1
7.78891,0.240715,1
8.02962,0.243474,1
8.2731,0.210489,1
8.48359,0.195007,1
8.6786,0.221875,1
8.90047,0.311334,1
9.21181,0.159545,1
9.37135,0.271583,1
9.64294,0.172973,1
9.81591,0.239556,1
10.0555,0.29949,1
10.355,0.294426,1
10.6494,0.167109,1
10.8165,0.200674,1
11.0172,0.208588,1
11.2258,0.150426,1
11.3762,0.317697,1
11.6939,0.439227,1
12.1332,0.411052,1
12.5442,0.389019,1
12.9332,0.146616,1
13.0799,0.389416,1
13.4693,0.240631,1
13.7099,0.211989,1
13.9219,0.249638,1
14.1715,0.208538,1
14.3801,0.242021,1
14.6221,0.255214,1
14.8773,0.236932,1
15.1142,0.314005,1
15.4283,0.133473,1
15.5617,0.271447,1
15.8332,0.159515,1
15.9927,0.206505,1
16.1992,0.162826,1
16.362,0.171272,1
16.5333,0.179909,1
16.7132,0.224075,1
16.9373,0.260803,1
17.1981,0.198251,1
17.3963,0.27316,1
17.6695,0.0788296,1
17.7483,0.297975,1
18.0463,0.150082,1
18.1964,0.219618,1
18.416,0.240816,1
18.6568,0.147934,1
18.8048,0.257944,1
19.0627,0.310653,1
19.3734,0.147069,1
19.5204,0.0764008,1
19.5968,0.0993241,1
19.6962,0.0986016,1
19.7948,0.0855479,1
19.8803,0.0793635,1
19.9597,0.081934,1
20.0416,0.071184,1
20.1128,0.211652,1
20.3244,0.209296,1
20.5337,0.162193,1
20.6959,0.158112,1
20.854,0.158974,1
21.013,0.177707,1
21.1907,0.183552,1
