offset_s,latency_s,ok
5.05676,0.124174,1
5.18093,0.1402,1
5.32113,0.100928,1
5.42206,0.105751,1
5.52781,0.102382,1
5.6302,0.107306,1
5.7375,0.0942927,1
5.8318,0.115475,1
5.94727,0.0929515,1
6.04023,0.116697,1
6.15692,0.091909,1
6.24883,0.118437,1
6.36727,0.0872278,1
6.4545,0.122523,1
6.57702,0.0821364,1
6.65916,0.118017,1
6.77718,0.0885895,1
6.86577,0.125698,1
6.99146,0.104987,1
7.09645,0.181489,1
7.27794,0.0806963,1
7.35864,0.132416,1
7.49105,0.0816356,1
7.57269,0.120389,1
7.69308,0.0788431,1
7.77192,0.122866,1
7.89479,0.0804683,1
7.97526,0.132673,1
8.10793,0.0718179,1
8.17975,0.129168,1
8.30892,0.104709,1
8.41363,0.100832,1
8.51446,0.0994525,1
8.61391,0.102326,1
8.71624,0.100064,1
8.81631,0.101742,1
8.91805,0.100538,1
9.01859,0.109446,1
9.12803,0.107866,1
9.2359,0.144439,1
9.38034,0.0807774,1
9.46112,0.124404,1
9.58552,0.0805866,1
9.66611,0.126295,1
9.79241,0.0791749,1
9.87158,0.126491,1
9.99807,0.0805254,1
10.0786,0.130744,1
10.2093,0.0746023,1
10.2839,0.0531325,1
10.3371,0.052328,1
10.3894,0.0537698,1
10.4432,0.053112,1
10.4963,0.0541178,1
10.5504,0.0517522,1
10.6022,0.0529329,1
10.6551,0.0528816,1
10.708,0.0537264,1
10.7617,0.053551,1
10.8153,0.0550392,1
10.8703,0.0537413,1
10.924,0.0533379,1
10.9774,0.0540092,1
11.0314,0.054206,1
11.0856,0.0550097,1
11.1406,0.162527,1
11.3031,0.0568622,1
11.36,0.152653,1
11.5126,0.0543977,1
11.567,0.150088,1
11.7171,0.0577688,1
11.7749,0.14623,1
11.9211,0.0608236,1
11.982,0.146074,1
12.128,0.0582521,1
12.1863,0.14845,1
12.3347,0.0565111,1
12.3912,0.151231,1
12.5425,0.0564992,1
12.599,0.14919,1
12.7482,0.0638797,1
12.8121,0.148332,1
12.9604,0.0598955,1
13.0203,0.146481,1
13.1668,0.0601895,1
13.227,0.150922,1
13.3779,0.155377,1
13.5333,0.152296,1
13.6855,0.15547,1
13.841,0.156025,1
13.997,0.154761,1
14.1518,0.153219,1
14.305,0.0539479,1
14.359,0.158351,1
14.5173,0.163352,1
14.6807,0.162011,1
14.8427,0.158049,1
15.0007,0.162852,1
15.1636,0.161469,1
15.3251,0.163924,1
15.489,0.161533,1
15.6505,0.156675,1
15.8072,0.17117,1
15.9784,0.155709,1
16.1341,0.152984,1
16.2871,0.157632,1
16.4447,0.0944824,1
16.5392,0.130287,1
16.6695,0.0850208,1
16.7545,0.128537,1
16.883,0.0806454,1
16.9637,0.169407,1
17.1331,0.136736,1
17.2698,0.121862,1
17.3917,0.105082,1
17.4968,0.126111,1
17.6229,0.113811,1
17.7367,0.107647,1
17.8443,0.108492,1
17.9528,0.106566,1
18.0594,0.103073,1
18.1625,0.111401,1
18.2739,0.110905,1
18.3848,0.121955,1
18.5067,0.120564,1
18.6273,0.129908,1
18.7572,0.114424,1
18.8716,0.130989,1
19.0026,0.155279,1
19.1579,0.114593,1
19.2725,0.156452,1
19.4289,0.118223,1
19.5472,0.118595,1
19.6658,0.126772,1
19.7925,0.125944,1
19.9185,0.115598,1
20.0341,0.11756,1
20.1516,0.12007,1
20.2717,0.128618,1
20.4003,0.127242,1
20.5276,0.134733,1
20.6623,0.0763691,1
20.7387,0.175686,1
20.9144,0.0787686,1
20.9931,0.179647,1
21.1728,0.18976,1
21.3625,0.0705048,1
21.433,0.167372,1
21.6004,0.0768975,1
21.6773,0.177692,1
21.855,0.0841185,1
21.9391,0.281635,1
22.2208,0.295354,1
22.5161,0.181433,1
22.6975,0.211511,1
22.9091,0.229123,1
23.1382,0.208021,1
23.3462,0.132173,1
