offset_s,latency_s,ok
5.08668,0.104197,1
5.19088,0.103008,1
5.29389,0.110781,1
5.40467,0.106503,1
5.51118,0.112201,1
5.62338,0.105866,1
5.72924,0.109363,1
5.83861,0.152695,1
5.9913,0.298266,1
6.28957,0.183546,1
6.47312,0.162704,1
6.63582,0.106427,1
6.74225,0.100439,1
6.84269,0.0997805,1
6.94247,0.0982519,1
7.04072,0.100962,1
7.14168,0.0984694,1
7.24015,0.0981509,1
7.33831,0.100896,1
7.4392,0.102753,1
7.54196,0.0982012,1
7.64016,0.099422,1
7.73958,0.100529,1
7.84011,0.101367,1
7.94148,0.0991479,1
8.04063,0.100519,1
8.14114,0.104636,1
8.24578,0.10174,1
8.34752,0.100592,1
8.44811,0.104162,1
8.55228,0.100376,1
8.65265,0.0974802,1
8.75013,0.0973109,1
8.84744,0.0974274,1
8.94487,0.0964124,1
9.04129,0.0994488,1
9.14073,0.0978702,1
9.23861,0.0970369,1
9.33564,0.0979171,1
9.43356,0.096791,1
9.53035,0.0968619,1
9.62721,0.0971282,1
9.72434,0.0971413,1
9.82148,0.100495,1
9.92198,0.0989109,1
10.0209,0.0993614,1
10.1203,0.0979227,1
10.2182,0.0983205,1
10.3165,0.09693,1
10.4134,0.0995943,1
10.513,0.103067,1
10.6161,0.106757,1
10.7228,0.101441,1
10.8243,0.10214,1
10.9264,0.100187,1
11.0266,0.107233,1
11.1339,0.0979713,1
11.2318,0.0987517,1
11.3306,0.098654,1
11.4292,0.098285,1
11.5275,0.106997,1
11.6345,0.0983449,1
11.7329,0.100425,1
11.8333,0.111681,1
11.945,0.100054,1
12.045,0.111837,1
12.1569,0.109905,1
12.2668,0.0982044,1
12.365,0.0977803,1
12.4627,0.0971138,1
12.5599,0.106454,1
12.6663,0.101068,1
12.7674,0.10227,1
12.8697,0.0977154,1
12.9674,0.109971,1
13.0773,0.127997,1
13.2053,0.117043,1
13.3224,0.119157,1
13.4415,0.136297,1
13.5778,0.128306,1
13.7061,0.111212,1
13.8174,0.100952,1
13.9183,0.10266,1
14.021,0.105706,1
14.1267,0.10728,1
14.234,0.110258,1
14.3442,0.106949,1
14.4512,0.102708,1
14.5539,0.117235,1
14.6711,0.133558,1
14.8047,0.127556,1
14.9322,0.108024,1
15.0403,0.120773,1
15.161,0.102801,1
15.2638,0.116525,1
15.3804,0.10988,1
15.4902,0.115512,1
15.6057,0.107534,1
15.7133,0.105815,1
15.8191,0.125899,1
15.945,0.165437,1
16.1104,0.197397,1
16.3078,0.122532,1
16.4304,0.115876,1
16.5462,0.118459,1
16.6647,0.108233,1
16.7729,0.101445,1
16.8744,0.109527,1
16.9839,0.102734,1
17.0866,0.0997934,1
17.1864,0.106073,1
17.2925,0.0994074,1
17.3919,0.0999354,1
17.4919,0.0986008,1
17.5905,0.0998912,1
17.6903,0.0984663,1
17.7888,0.0993109,1
17.8881,0.0977888,1
17.9859,0.0988226,1
18.0847,0.098557,1
18.1833,0.100186,1
18.2835,0.114006,1
18.3975,0.113653,1
18.5111,0.0989763,1
18.6101,0.100823,1
18.7109,0.101522,1
18.8125,0.0986109,1
18.9111,0.100003,1
19.0111,0.100033,1
19.1111,0.0995764,1
19.2107,0.0979467,1
19.3086,0.0987892,1
19.4074,0.0979871,1
19.5054,0.107522,1
19.6129,0.0995003,1
19.7124,0.0986682,1
19.8111,0.0989414,1
19.91,0.0978509,1
20.0079,0.0977558,1
20.1057,0.098179,1
20.2038,0.0984637,1
20.3023,0.100601,1
20.4029,0.0965526,1
20.4995,0.0977669,1
20.5972,0.0975064,1
20.6947,0.0979019,1
20.7926,0.100296,1
20.8929,0.0989874,1
20.9919,0.103493,1
21.0954,0.106269,1
21.2017,0.104232,1
21.3059,0.0980044,1
21.4039,0.0974891,1
21.5014,0.0971946,1
21.5986,0.098038,1
21.6966,0.0982239,1
21.7949,0.0979304,1
21.8928,0.0975269,1
21.9903,0.0970058,1
22.0873,0.097476,1
22.1848,0.0998903,1
22.2847,0.100199,1
22.3849,0.097449,1
22.4823,0.0977144,1
22.5801,0.0976136,1
22.6777,0.0981007,1
22.7758,0.0986129,1
22.8744,0.098078,1
22.9725,0.100159,1
23.0726,0.0993967,1
23.172,0.0996887,1
23.2717,0.100642,1
23.3724,0.099353,1
23.4717,0.0978729,1
23.5696,0.0991279,1
23.6687,0.10105,1
23.7698,0.0988436,1
23.8686,0.0988556,1
23.9675,0.101646,1
24.0691,0.100314,1
24.1694,0.100477,1
24.2699,0.105565,1
24.3755,0.0968565,1
24.4723,0.0992962,1
24.5716,0.099189,1
24.6708,0.0967811,1
24.7676,0.100554,1
24.8681,0.0974646,1
24.9656,0.0982738,1
5.03409,0.103556,1
5.13765,0.104765,1
5.24241,0.109302,1
5.35172,0.106906,1
5.45862,0.104619,1
5.56324,0.113992,1
5.67724,0.105693,1
5.78293,0.124201,1
5.90713,0.250564,1
6.1577,0.203355,1
6.36105,0.213645,1
6.5747,0.113312,1
6.68801,0.105184,1
6.79319,0.100494,1
6.89369,0.0975971,1
6.99129,0.0980428,1
7.08933,0.101416,1
7.19075,0.0986937,1
7.28944,0.0980277,1
7.38747,0.1036,1
7.49107,0.0999512,1
7.59102,0.0990004,1
7.69002,0.0995528,1
7.78958,0.10172,1
7.8913,0.099285,1
7.99058,0.0995711,1
8.09015,0.100205,1
8.19036,0.107223,1
8.29758,0.101232,1
8.39881,0.0991544,1
8.49797,0.105602,1
8.60357,0.0980109,1
8.70158,0.0970342,1
8.79862,0.0979394,1
8.89656,0.0967893,1
8.99335,0.0991022,1
9.09245,0.0970745,1
9.18952,0.0975688,1
9.28709,0.0977832,1
9.38488,0.0970927,1
9.48197,0.0965817,1
9.57855,0.0972454,1
9.6758,0.0976858,1
9.77348,0.0987067,1
9.87219,0.0997256,1
9.97192,0.0993042,1
10.0712,0.0970916,1
10.1683,0.0994825,1
10.2678,0.0968824,1
10.3647,0.0979068,1
10.4626,0.10103,1
10.5636,0.105658,1
10.6693,0.104155,1
10.7734,0.101673,1
10.8751,0.101031,1
10.9761,0.105313,1
11.0815,0.101569,1
11.183,0.0988605,1
11.2819,0.097339,1
11.3792,0.098849,1
11.4781,0.105693,1
11.5838,0.100327,1
11.6841,0.0997243,1
11.7838,0.10306,1
11.8869,0.108111,1
11.995,0.101749,1
12.0967,0.119532,1
12.2163,0.0994658,1
12.3157,0.0982152,1
12.414,0.0970988,1
12.5111,0.105133,1
12.6162,0.100667,1
12.7169,0.101333,1
12.8182,0.100245,1
12.9184,0.102838,1
13.0213,0.119905,1
13.1412,0.125846,1
13.267,0.112547,1
13.3796,0.124042,1
13.5036,0.14398,1
13.6476,0.117956,1
13.7656,0.102123,1
13.8677,0.100846,1
13.9685,0.102808,1
14.0713,0.108037,1
14.1794,0.109253,1
14.2886,0.109373,1
14.398,0.104298,1
14.5023,0.102786,1
14.6051,0.132246,1
14.7373,0.132497,1
14.8698,0.117491,1
14.9873,0.115346,1
15.1027,0.109606,1
15.2123,0.105858,1
15.3181,0.120375,1
15.4385,0.110964,1
15.5495,0.111078,1
15.6606,0.105732,1
15.7663,0.10858,1
15.8749,0.148868,1
16.0237,0.182834,1
16.2066,0.165488,1
16.3721,0.115353,1
16.4874,0.125701,1
16.6131,0.105477,1
16.7186,0.104491,1
16.8231,0.103325,1
16.9264,0.108635,1
17.035,0.101201,1
17.1362,0.103729,1
17.24,0.102959,1
17.3429,0.0992842,1
17.4422,0.0998657,1
17.5421,0.0984534,1
17.6405,0.098897,1
17.7394,0.0991323,1
17.8386,0.0988615,1
17.9374,0.0987502,1
18.0362,0.0983406,1
18.1345,0.0989154,1
18.2334,0.111795,1
18.3452,0.111674,1
18.4569,0.104384,1
18.5613,0.0991013,1
18.6604,0.101847,1
18.7622,0.100237,1
18.8625,0.0977816,1
18.9603,0.100758,1
19.061,0.0995571,1
19.1606,0.0987491,1
19.2593,0.0991946,1
19.3585,0.0977754,1
19.4563,0.107377,1
19.5637,0.097943,1
19.6616,0.101191,1
19.7628,0.0968779,1
19.8597,0.099628,1
19.9593,0.097329,1
20.0566,0.0984163,1
20.1551,0.097155,1
20.2522,0.101429,1
20.3537,0.0976314,1
20.4513,0.0977101,1
20.549,0.0962084,1
20.6452,0.0987745,1
20.744,0.0980082,1
20.842,0.0996645,1
20.9417,0.0997085,1
21.0414,0.108223,1
21.1496,0.104212,1
21.2538,0.101588,1
21.3554,0.0977089,1
21.4531,0.0972079,1
21.5503,0.0973353,1
21.6476,0.0980033,1
21.7456,0.0980185,1
21.8437,0.098028,1
21.9417,0.0977322,1
22.0394,0.0972232,1
22.1366,0.0978784,1
22.2345,0.101787,1
22.3363,0.0977903,1
22.4341,0.0966217,1
22.5307,0.0983657,1
22.6291,0.0984287,1
22.7275,0.0968404,1
22.8244,0.0992989,1
22.9237,0.0991885,1
23.0229,0.0989599,1
23.1218,0.0995327,1
23.2213,0.101891,1
23.3232,0.0992652,1
23.4225,0.0976087,1
23.5201,0.0994692,1
23.6196,0.101953,1
23.7215,0.0965963,1
23.8181,0.0993206,1
23.9175,0.101707,1
24.0192,0.0994701,1
24.1186,0.10119,1
24.2198,0.104051,1
24.3239,0.100151,1
24.424,0.0972647,1
24.5213,0.0999142,1
24.6212,0.0980957,1
24.7193,0.0979885,1
24.8173,0.0991178,1
24.9164,0.0971242,1
