offset_s,latency_s,ok
5.468,0.160164,1
5.62817,0.321593,1
5.94976,0.378917,1
6.32868,0.198987,1
6.52767,0.0954522,1
6.62312,0.3155,1
6.93862,0.218004,1
7.15663,0.243001,1
7.39963,0.688437,1
8.08807,0.196862,1
8.28493,0.187259,1
8.47219,0.0995054,1
8.5717,0.834064,1
9.40577,0.15157,1
9.55734,0.109403,1
9.66674,0.1375,1
9.80425,0.158867,1
9.96311,0.862259,1
10.8254,0.161322,1
10.9867,0.336215,1
11.3229,0.519656,1
11.8426,0.170948,1
12.0135,0.142414,1
12.1559,0.164311,1
12.3202,0.781455,1
13.1017,0.850158,1
13.9519,0.304763,1
14.2566,0.491216,1
14.7478,0.195593,1
14.9434,0.338624,1
15.2821,0.443529,1
15.7256,0.327729,1
16.0533,0.222148,1
16.2755,0.342092,1
16.6176,0.23484,1
16.8524,0.568518,1
17.4209,0.191792,1
17.6127,0.142372,1
17.7551,0.456751,1
18.2119,0.229886,1
18.4417,0.175719,1
18.6175,0.617651,1
19.2351,0.217229,1
19.4523,0.163773,1
19.6161,0.157009,1
19.7731,0.172968,1
19.9461,0.108179,1
20.0543,0.119113,1
20.1734,0.275076,1
20.4485,0.566601,1
21.0151,0.232834,1
21.2479,0.365922,1
21.6138,0.493649,1
22.1075,0.194275,1
22.3018,0.236691,1
22.5384,0.629524,1
23.168,0.144427,1
23.3124,0.201061,1
23.5135,0.259519,1
23.773,0.226088,1
23.9991,0.234064,1
24.2331,0.128998,1
24.3621,0.195515,1
24.5577,0.174832,1
24.7325,0.758319,1
5.19284,0.30666,1
5.4995,0.330963,1
5.83047,0.365996,1
6.19647,0.170661,1
6.36713,0.835892,1
7.20302,0.334425,1
7.53745,0.255329,1
7.79278,0.679196,1
8.47198,0.14843,1
8.62042,0.408421,1
9.02884,0.863213,1
9.89205,0.162315,1
10.0544,0.418931,1
10.4733,0.851189,1
11.3245,0.156348,1
11.4808,0.183931,1
11.6648,0.177723,1
11.8425,0.171579,1
12.0141,0.179583,1
12.1937,0.218057,1
12.4117,0.179814,1
12.5915,0.14518,1
12.7367,0.200616,1
12.9373,0.217811,1
13.1552,0.144246,1
13.2994,0.300324,1
13.5997,0.353845,1
13.9536,0.684584,1
14.6382,0.286235,1
14.9244,0.358515,1
15.2829,0.202026,1
15.4849,0.427128,1
15.9121,0.237159,1
16.1492,0.214538,1
16.3638,0.484375,1
16.8481,0.148286,1
16.9964,0.187534,1
17.184,0.220027,1
17.404,0.125822,1
17.5298,0.133995,1
17.6638,0.19969,1
17.8635,0.193814,1
18.0573,0.501248,1
18.5586,0.25693,1
18.8155,0.599705,1
19.4152,0.14806,1
19.5633,0.55772,1
20.121,0.249113,1
20.3701,0.561734,1
20.9318,0.480454,1
21.4123,0.201238,1
21.6135,0.617575,1
22.2311,0.180031,1
22.4112,0.138483,1
22.5496,0.170527,1
22.7202,0.48863,1
23.2088,0.564431,1
23.7732,0.164902,1
23.9381,0.200968,1
24.1391,0.222989,1
24.3621,0.203945,1
24.566,0.166082,1
24.7321,0.285974,1
5.04837,0.197228,1
5.2456,0.253889,1
5.49949,0.160259,1
5.65975,0.7359,1
6.39565,0.375516,1
6.77117,0.167447,1
6.93862,0.21794,1
7.15656,0.219177,1
7.37574,0.28403,1
7.65977,0.413983,1
8.07375,0.255908,1
8.32967,0.76075,1
9.09042,0.201193,1
9.29161,0.355557,1
9.64717,0.120938,1
9.76811,0.123709,1
9.89182,0.162278,1
10.0541,0.174134,1
10.2282,0.361805,1
10.59,0.178207,1
10.7683,0.19151,1
10.9598,0.737024,1
11.6968,0.167793,1
11.8646,0.162213,1
12.0268,0.225005,1
12.2518,0.383584,1
12.6354,0.784448,1
13.4198,0.180555,1
13.6004,0.656658,1
14.2571,0.311738,1
14.5688,0.24578,1
14.8146,0.251886,1
15.0665,0.24256,1
15.309,0.417742,1
15.7268,0.247461,1
15.9742,0.286838,1
16.2611,0.473811,1
16.7349,0.204135,1
16.939,0.177947,1
17.117,0.368916,1
17.4859,0.451072,1
17.937,0.452661,1
18.3896,0.49539,1
18.885,0.226353,1
19.1114,0.163046,1
19.2744,0.211407,1
19.4858,0.165763,1
19.6516,0.184509,1
19.8361,0.182221,1
20.0183,0.235496,1
20.2538,0.234478,1
20.4883,0.297249,1
20.7856,0.303615,1
21.0892,0.181427,1
21.2706,0.334645,1
21.6052,0.164076,1
21.7693,0.532528,1
22.3018,0.719231,1
23.0211,0.187802,1
23.2089,0.423862,1
23.6327,0.635731,1
24.2685,0.289073,1
24.5576,0.180816,1
24.7384,0.130946,1
24.8693,0.177694,1
5.0001,0.160559,1
5.16066,0.173987,1
5.33465,0.323745,1
5.6584,0.347463,1
6.00586,0.0852054,1
6.09107,0.766316,1
6.85739,0.757509,1
7.6149,0.249817,1
7.86472,0.353852,1
8.21857,0.254312,1
8.47289,0.0948142,1
8.5677,0.110554,1
8.67826,0.879055,1
9.55732,0.406139,1
9.96346,0.166558,1
10.13,0.839212,1
10.9692,0.354777,1
11.324,0.317073,1
11.6411,0.201487,1
11.8426,0.337476,1
12.1801,0.771806,1
12.9519,0.261907,1
13.2138,0.148816,1
13.3626,0.237172,1
13.5998,0.475315,1
14.0751,0.343008,1
14.4181,0.463751,1
14.8819,0.212723,1
15.0946,0.389421,1
15.484,0.333411,1
15.8175,0.305034,1
16.1225,0.259804,1
16.3823,0.352724,1
16.735,0.572942,1
17.308,0.104,1
17.412,0.142728,1
17.5547,0.572895,1
18.1276,0.180837,1
18.3084,0.197652,1
18.5061,0.498857,1
19.005,0.534076,1
19.539,0.196842,1
19.7359,0.561075,1
20.2969,0.191472,1
20.4884,0.153759,1
20.6422,0.376886,1
21.0191,0.228825,1
21.2479,0.52176,1
21.7697,0.12694,1
21.8966,0.558433,1
22.455,0.204701,1
22.6597,0.652636,1
23.3124,0.65705,1
23.9694,0.297026,1
24.2664,0.191971,1
24.4584,0.698175,1
5.0477,0.31286,1
5.36056,0.185246,1
5.54581,0.694393,1
6.24021,0.889405,1
7.12961,0.246033,1
7.37565,0.204026,1
7.57967,0.705244,1
8.28492,0.196847,1
8.48177,0.345218,1
8.82699,0.123908,1
8.9509,0.163971,1
9.11487,0.420473,1
9.53535,0.187421,1
9.72277,0.416968,1
10.1397,0.213191,1
10.3529,0.23512,1
10.5881,0.205311,1
10.7934,0.846911,1
11.6403,0.53983,1
12.1801,0.172061,1
12.3522,0.204451,1
12.5566,0.174986,1
12.7316,0.220242,1
12.9519,0.780246,1
13.7321,0.340279,1
14.0724,0.345574,1
14.418,0.332312,1
14.7503,0.531612,1
15.2819,0.201956,1
15.4838,0.387701,1
15.8716,0.235019,1
16.1066,0.276098,1
16.3827,0.23533,1
16.618,0.234753,1
16.8528,0.170373,1
17.0231,0.532048,1
17.5552,0.163768,1
17.719,0.217117,1
17.9361,0.191354,1
18.1274,0.146222,1
18.2737,0.663486,1
18.9371,0.221199,1
19.1583,0.226612,1
19.385,0.178214,1
19.5632,0.209913,1
19.7731,0.596849,1
20.3699,0.199573,1
20.5695,0.216157,1
20.7857,0.295872,1
21.0815,0.357116,1
21.4387,0.175168,1
21.6138,0.232437,1
21.8463,0.158688,1
22.0049,0.700193,1
22.7051,0.159436,1
22.8646,0.499564,1
23.3641,0.211791,1
23.5759,0.362666,1
23.9386,0.200513,1
24.1391,0.222977,1
24.3621,0.219579,1
24.5817,0.743556,1
5.33165,0.170335,1
5.50199,0.341367,1
5.84336,0.684716,1
6.52808,0.84884,1
7.37692,0.203215,1
7.58014,0.212731,1
7.79287,0.204051,1
7.99692,0.368211,1
8.36513,0.190298,1
8.55543,0.110422,1
8.66586,0.148851,1
8.81471,0.119781,1
8.93449,0.15583,1
9.09032,0.201159,1
9.29148,0.114402,1
9.40589,0.385982,1
9.79187,0.878498,1
10.6704,0.201727,1
10.8721,0.452024,1
11.3241,0.156139,1
11.4803,0.184589,1
11.6649,0.14606,1
11.8109,0.714624,1
12.5255,0.773563,1
13.2991,0.300713,1
13.5998,0.352099,1
13.9519,0.304585,1
14.2565,0.162112,1
14.4186,0.331174,1
14.7498,0.175191,1
14.925,0.357603,1
15.2826,0.201266,1
15.4839,0.38767,1
15.8715,0.341229,1
16.2128,0.151029,1
16.3638,0.254356,1
16.6182,0.23493,1
16.8531,0.212446,1
17.0655,0.242423,1
17.308,0.125382,1
17.4333,0.179635,1
17.613,0.445135,1
18.0581,0.159888,1
18.218,0.22385,1
18.4419,0.187896,1
18.6298,0.185553,1
18.8153,0.280396,1
19.0957,0.17857,1
19.2743,0.640271,1
19.9145,0.57385,1
20.4884,0.153939,1
20.6423,0.372704,1
21.015,0.232897,1
21.2479,0.190749,1
21.4387,0.309433,1
21.7481,0.164731,1
21.9129,0.174716,1
22.0876,0.123927,1
22.2115,0.199507,1
22.411,0.127609,1
22.5386,0.164277,1
22.7029,0.161792,1
22.8647,0.231871,1
23.0966,0.177148,1
23.2737,0.21302,1
23.4867,0.105819,1
23.5925,0.180473,1
23.773,0.165551,1
23.9386,0.619035,1
24.5576,0.290525,1
24.8481,0.144184,1
24.9923,0.744216,1
5.11242,0.219075,1
5.3315,0.136503,1
5.468,0.162776,1
5.63078,0.119135,1
5.74991,0.308244,1
6.05816,0.140244,1
6.1984,0.129875,1
6.32828,0.199716,1
6.528,0.0951194,1
6.62312,0.915163,1
7.53828,0.359409,1
7.89769,0.116915,1
8.01461,0.178576,1
8.19319,0.172062,1
8.36525,0.284467,1
8.64972,0.161989,1
8.81171,0.116366,1
8.92808,0.236584,1
9.16467,0.142169,1
9.30684,0.920098,1
10.2269,0.246623,1
10.4736,0.116325,1
10.5899,0.863078,1
11.453,0.243817,1
11.6968,0.655991,1
12.3528,0.436229,1
12.789,0.810966,1
13.6,0.354379,1
13.9544,0.302255,1
14.2566,0.318359,1
14.575,0.257829,1
14.8328,0.232365,1
15.0652,0.217894,1
15.2831,0.44241,1
15.7255,0.248789,1
15.9743,0.287759,1
16.262,0.182346,1
16.4444,0.173787,1
16.6182,0.499863,1
17.118,0.190722,1
17.3088,0.103138,1
17.4119,0.604778,1
18.0167,0.170701,1
18.1874,0.170421,1
18.3578,0.200765,1
18.5586,0.252358,1
18.8109,0.204134,1
19.0151,0.2591,1
19.2742,0.50885,1
19.783,0.258346,1
20.0414,0.6009,1
20.6423,0.605932,1
21.2482,0.151293,1
21.3995,0.173336,1
21.5728,0.175362,1
21.7482,0.14467,1
21.8929,0.201092,1
22.094,0.509199,1
22.6032,0.179364,1
22.7825,0.205308,1
22.9878,0.220101,1
23.2079,0.278699,1
23.4866,0.286841,1
23.7735,0.622591,1
24.3961,0.216108,1
24.6122,0.157315,1
24.7695,0.188331,1
24.9578,0.36737,1
5.1124,0.139627,1
5.25203,0.656913,1
5.90894,0.149247,1
6.05819,0.136992,1
6.19518,0.132978,1
6.32816,0.121939,1
6.4501,0.14436,1
6.59447,0.262867,1
6.85733,0.382605,1
7.23994,0.714141,1
7.95408,0.213678,1
8.16776,0.728267,1
8.89603,0.399512,1
9.29555,0.110309,1
9.40586,0.151473,1
9.55733,0.795482,1
10.3528,0.23552,1
10.5883,0.356864,1
10.9452,0.377075,1
11.3223,0.156804,1
11.4791,0.227722,1
11.7068,0.305414,1
12.0122,0.340604,1
12.3528,0.20371,1
12.5565,0.174906,1
12.7315,0.310786,1
13.0422,0.141954,1
13.1842,0.216436,1
13.4006,0.720742,1
14.1214,0.29676,1
14.4181,0.242376,1
14.6605,0.344497,1
15.005,0.277732,1
15.2828,0.20178,1
15.4845,0.387066,1
15.8716,0.18167,1
16.0533,0.237495,1
16.2908,0.184635,1
16.4754,0.484023,1
16.9599,0.157744,1
17.1177,0.601365,1
17.719,0.297835,1
18.0169,0.170516,1
18.1874,0.542621,1
18.73,0.274676,1
19.0047,0.441105,1
19.4458,0.500252,1
19.946,0.126315,1
20.0724,0.130379,1
20.2027,0.673485,1
20.8762,0.213378,1
21.0896,0.181043,1
21.2707,0.206316,1
21.477,0.455052,1
21.932,0.60698,1
22.539,0.16425,1
22.7033,0.161339,1
22.8646,0.231953,1
23.0965,0.19918,1
23.2957,0.191215,1
23.4869,0.610057,1
24.097,0.169464,1
24.2665,0.231113,1
24.4976,0.234363,1
24.7319,0.124295,1
24.8562,0.761467,1
5.16061,0.596495,1
5.75711,0.105402,1
5.86251,0.106794,1
5.96931,0.0897485,1
6.05995,0.0884998,1
6.14845,0.37916,1
6.52761,0.313162,1
6.84078,0.288865,1
7.12964,0.663167,1
7.79281,0.248914,1
8.04173,0.678525,1
8.72026,0.459388,1
9.17965,0.874482,1
10.0541,0.172793,1
10.2269,0.179571,1
10.4065,0.361755,1
10.7683,0.191168,1
10.9594,0.364096,1
11.3235,0.316948,1
11.6405,0.146231,1
11.7867,0.183118,1
11.9698,0.186342,1
12.1562,0.195933,1
12.3521,0.204824,1
12.5569,0.345045,1
12.902,0.232027,1
13.134,0.196635,1
13.3306,0.269251,1
13.5999,0.352017,1
13.9519,0.304891,1
14.2568,0.31715,1
14.574,0.256665,1
14.8306,0.23445,1
15.0651,0.30886,1
15.3739,0.443575,1
15.8175,0.185161,1
16.0027,0.244057,1
16.2467,0.228984,1
16.4757,0.259525,1
16.7352,0.222799,1
16.958,0.35046,1
17.3085,0.21028,1
17.5188,0.135262,1
17.6541,0.58874,1
18.2428,0.19899,1
18.4418,0.187766,1
18.6296,0.528844,1
19.1584,0.577447,1
19.7358,0.178728,1
19.9146,0.533965,1
20.4485,0.12064,1
20.5692,0.526445,1
21.0956,0.178617,1
21.2742,0.509864,1
21.7841,0.626858,1
22.411,0.138709,1
22.5497,0.546793,1
23.0965,0.51655,1
23.613,0.26053,1
23.8736,0.198407,1
24.072,0.152175,1
24.2241,0.624143,1
24.8483,0.308307,1
5.61001,0.141007,1
5.75102,0.110329,1
5.86135,0.0901238,1
5.95148,0.760511,1
6.71199,0.418216,1
7.13021,0.30593,1
7.43614,0.247736,1
7.68387,0.214014,1
7.89789,0.657539,1
8.55543,0.103286,1
8.65872,0.118273,1
8.777,0.251877,1
9.02887,0.242183,1
9.27106,0.144836,1
9.4159,0.157573,1
9.57347,0.153193,1
9.72667,0.177804,1
9.90447,0.398154,1
10.3026,0.203588,1
10.5062,0.228965,1
10.7352,0.395343,1
11.1305,0.34861,1
11.4791,0.307065,1
11.7862,0.1047,1
11.8909,0.13651,1
12.0274,0.7623,1
12.7897,0.27745,1
13.0672,0.15664,1
13.2238,0.145464,1
13.3693,0.326019,1
13.6953,0.256956,1
13.9523,0.304432,1
14.2567,0.312115,1
14.5688,0.261081,1
14.8299,0.236424,1
15.0663,0.418432,1
15.4848,0.410454,1
15.8952,0.263614,1
16.1588,0.223473,1
16.3823,0.235695,1
16.618,0.235056,1
16.8531,0.31007,1
17.1631,0.144899,1
17.308,0.555517,1
17.8635,0.193674,1
18.0572,0.500168,1
18.5574,0.253587,1
18.811,0.46389,1
19.2749,0.168516,1
19.4434,0.575241,1
20.0186,0.550931,1
20.5696,0.216124,1
20.7857,0.303309,1
21.089,0.259221,1
21.3482,0.56516,1
21.9134,0.19408,1
22.1075,0.757081,1
22.8645,0.231934,1
23.0965,0.39036,1
23.4868,0.215668,1
23.7025,0.235849,1
23.9384,0.171516,1
24.1099,0.252428,1
24.3623,0.368987,1
24.7313,0.116999,1
24.8483,0.170311,1
5.18924,0.171205,1
5.36045,0.274615,1
5.63506,0.125301,1
5.76037,0.10248,1
5.86285,0.285254,1
6.1481,0.179929,1
6.32803,0.19946,1
6.5275,0.0954107,1
6.62291,0.147631,1
6.77054,0.22802,1
6.99856,0.289496,1
7.28806,0.252125,1
7.54019,0.166495,1
7.70669,0.225914,1
7.9326,0.17862,1
8.11122,0.218882,1
8.33011,0.170373,1
8.50048,0.128121,1
8.62861,0.212056,1
8.84066,0.86158,1
9.70224,0.116688,1
9.81894,0.144175,1
9.96311,0.166786,1
10.1299,0.200717,1
10.3306,0.991963,1
11.3226,0.317384,1
11.64,0.146512,1
11.7865,0.104271,1
11.8908,0.75985,1
12.6506,0.203684,1
12.8543,0.201319,1
13.0556,0.178595,1
13.2342,0.837647,1
14.0719,0.346204,1
14.4181,0.331792,1
14.7499,0.254151,1
15.004,0.277546,1
15.2816,0.444096,1
15.7257,0.222369,1
15.948,0.415588,1
16.3636,0.131403,1
16.495,0.239994,1
16.735,0.263033,1
16.9981,0.189463,1
17.1875,0.427247,1
17.6148,0.248502,1
17.8633,0.19485,1
18.0581,0.153646,1
18.2118,0.485272,1
18.6971,0.19218,1
18.8892,0.221208,1
19.1104,0.503413,1
19.6139,0.160683,1
19.7745,0.184986,1
19.9595,0.213814,1
20.1733,0.612263,1
20.7856,0.485171,1
21.2708,0.22499,1
21.4958,0.564302,1
22.0601,0.17147,1
22.2315,0.550766,1
22.7823,0.704653,1
23.487,0.332965,1
23.8199,0.404187,1
24.2241,0.171959,1
24.3961,0.622803,1
5.04797,0.163649,1
5.21162,0.172944,1
5.38456,0.707077,1
6.09164,0.174431,1
